journalname,IF
Pharmacognosy Magazine,1.0
Acta Logistica,1.0
Acta Logistica,1.0
ATOMIZATION AND SPRAYS,1.0
ATOMIZATION AND SPRAYS,1.0
ATOMIZATION AND SPRAYS,1.0
ATOMIZATION AND SPRAYS,1.0
ATOMIZATION AND SPRAYS,1.0
Brazilian Journal of Analytical Chemistry,1.0
Chem-Bio Informatics Journal,1.0
Chiang Mai Journal of Science,1.0
COMPUTING AND INFORMATICS,1.0
FERROELECTRICS LETTERS SECTION,1.0
Geochronometria,1.0
International Journal of Asian Business and Information Management,1.0
International Journal of Hydrology Science and Technology,1.0
International Journal of Hydrology Science and Technology,1.0
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,1.0
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,1.0
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,1.0
Italian Journal of Engineering Geology and Environment,1.0
Journal of Measurements in Engineering,1.0
Journal of Mechanics of Materials and Structures,1.0
Journal of Mechanics of Materials and Structures,1.0
Journal of Microbiology Biotechnology and Food Sciences,1.0
Journal of Robotics and Mechatronics,1.0
Lithuanian Journal of Physics,1.0
MATERIALWISSENSCHAFT UND WERKSTOFFTECHNIK,1.0
OPERATIONS RESEARCH LETTERS,1.0
Palliative Medicine in Practice,1.0
REVUE DE MEDECINE INTERNE,1.0
Archives for Technical Sciences,1.0
ASTRONOMISCHE NACHRICHTEN,1.0
BOTHALIA,1.0
Canadian Journal of Chemistry,1.0
Current Breast Cancer Reports,1.0
Earth Sciences Research Journal,1.0
Elastomers and Composites,1.0
European Journal of Sustainable Development,1.0
International Journal of Emerging Electric Power Systems,1.0
International Journal of Management and Economics,1.0
Journal of Laser Micro Nanoengineering,1.0
Journal of Laser Micro Nanoengineering,1.0
Journal of Laser Micro Nanoengineering,1.0
Journal of Laser Micro Nanoengineering,1.0
Radioengineering,1.0
ARCTIC,1.0
ARCTIC,1.0
Corrosion Science and Technology-Korea,1.0
Functional Materials Letters,1.0
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,1.0
Journal of Semiconductor Technology and Science,1.0
Journal of Semiconductor Technology and Science,1.0
Mechatronic Systems and Control,1.0
MICROELECTRONICS INTERNATIONAL,1.0
MICROELECTRONICS INTERNATIONAL,1.0
Sovremennye Tehnologii v Medicine,1.0
BIOMEDICAL ENGINEERING-APPLICATIONS BASIS COMMUNICATIONS,1.0
DADOS-REVISTA DE CIENCIAS SOCIAIS,1.0
JOURNAL OF ENVIRONMENTAL BIOLOGY,1.0
Journal of Medical Science,1.0
Journal of Medical Science,1.0
Journal of Nano Research,1.0
Journal of Nano Research,1.0
Journal of Nano Research,1.0
JOURNAL OF PORPHYRINS AND PHTHALOCYANINES,1.0
Journal of the Mexican Chemical Society,1.0
Komunikacie - vedecke listy Zilinskej univerzity v Ziline,1.0
Komunikacie - vedecke listy Zilinskej univerzity v Ziline,1.0
POLYMER-KOREA,1.0
Acta Chimica Slovaca,1.0
Intelligent Data Analysis,1.0
Journal of Information and Organizational Sciences,1.0
KINETICS AND CATALYSIS,1.0
Ocean Yearbook,1.0
RUSSIAN JOURNAL OF GENERAL CHEMISTRY,1.0
SAE International Journal of Commercial Vehicles,1.0
Eurasian Journal of Chemistry,1.0
Intelligent Decision Technologies-Netherlands,1.0
Journal of Regional and City Planning,1.0
Materials Physics and Mechanics,1.0
Nordic Concrete Research,1.0
Town and Regional Planning,1.0
Nanosystems-Physics Chemistry Mathematics,1.0
Imaging,1.0
Proceedings of the Institution of Civil Engineers-Waste and Resource Management,1.0
Foundations and Trends in Marketing,1.0
SEMICONDUCTORS,1.0
Chemija,1.0
South African Crime Quarterly-SACQ,1.0
International Journal of Applied Behavioral Economics,1.0
International Journal of Mobile Human Computer Interaction,1.0
Kunstiteaduslikke Uurimusi,1.0
University of Toronto Journal of Undergraduate Life Sciences,1.0
Sri Lanka Journal of Social Sciences,1.0
LIBRARY JOURNAL,1.0
NEW SCIENTIST,1.0
HISTORY AND THEORY,0.9
JOURNAL OF MODERN HISTORY,0.9
AMERICAN HISTORICAL REVIEW,0.9
JOURNAL OF BRITISH STUDIES,0.9
Transactions of the American Philological Association,0.9
SCANDINAVIAN JOURNAL OF HISTORY,0.9
TEMENOS,0.9
Contemporary British History,0.9
RADICAL HISTORY REVIEW,0.9
Critical Studies in Television,0.9
HAHR-Hispanic American Historical Review,0.9
AUSTRALASIAN JOURNAL OF PHILOSOPHY,0.9
History Compass,0.9
JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY,0.9
MEDICAL PROBLEMS OF PERFORMING ARTISTS,0.9
MEDICAL PROBLEMS OF PERFORMING ARTISTS,0.9
Journal for the Study of Spirituality,0.9
JOURNAL OF THE AMERICAN ACADEMY OF RELIGION,0.9
BRITISH JOURNAL OF AESTHETICS,0.9
BRITISH JOURNAL OF AESTHETICS,0.9
JOURNAL OF AESTHETICS AND ART CRITICISM,0.9
JOURNAL OF AESTHETICS AND ART CRITICISM,0.9
EUROPEAN JOURNAL OF PHILOSOPHY,0.9
Journal of Song-Yuan Studies,0.9
Journal of Song-Yuan Studies,0.9
Philosophy of Music Education Review,0.9
Fashion Theory-The Journal of Dress Body & Culture,0.9
Historia Agraria,0.9
JOURNAL OF THE HISTORY OF IDEAS,0.9
Analytic Philosophy,0.9
Foundations of Chemistry,0.9
Journal of Legislative Studies,0.9
JOURNAL OF THE AMERICAN INSTITUTE FOR CONSERVATION,0.9
Baltic Region,0.9
Journal of Social Philosophy,0.9
Journal of Social Philosophy,0.9
Journal of Social Philosophy,0.9
Philosophia Mathematica,0.9
Philosophia Mathematica,0.9
Studia Logica,0.9
Studia Logica,0.9
Studia Logica,0.9
East Asian Science Technology and Society-An International Journal,0.9
East Asian Science Technology and Society-An International Journal,0.9
East Asian Science Technology and Society-An International Journal,0.9
Journal of Semantics,0.9
Journal of Semantics,0.9
Tilburg Law Review-Journal of International and European Law,0.9
INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY,0.9
INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY,0.9
Mediaevalia-An Interdisciplinary Journal of Medieval Studies Worldwide,0.9
Australasian Journal of Logic,0.9
African Studies Review,0.9
UNIVERSITY OF ILLINOIS LAW REVIEW,0.9
Critical African Studies,0.9
Critical African Studies,0.9
Critical African Studies,0.9
Journal of Maritime Archaeology,0.9
JOURNAL OF ANTHROPOLOGICAL RESEARCH,0.9
Journal of European Competition Law & Practice,0.9
Journal of North African Studies,0.9
Legal Issues of Economic Integration,0.9
Across Languages and Cultures,0.9
Across Languages and Cultures,0.9
International Studies in the Philosophy of Science,0.9
Europolity-Continuity and Change in European Governance,0.9
English Today,0.9
English Today,0.9
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,0.9
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,0.9
JOURNAL OF ALGEBRAIC COMBINATORICS,0.9
DICKENSIAN,0.9
Differential and Integral Equations,0.9
Differential and Integral Equations,0.9
Journal of Intellectual Property Law & Practice,0.9
EUROPEAN JOURNAL OF HEALTH LAW,0.9
Mathematica Slovaca,0.9
Rendiconti del Circolo Matematico di Palermo,0.9
LINEAR & MULTILINEAR ALGEBRA,0.9
Nordisk valfardsforskning - Nordic Welfare Research,0.9
BULLETIN OF THE BRAZILIAN MATHEMATICAL SOCIETY,0.9
Journal of Elliptic and Parabolic Equations,0.9
COMMUNIST AND POST-COMMUNIST STUDIES,0.9
COMMUNIST AND POST-COMMUNIST STUDIES,0.9
BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,0.9
Journal for General Philosophy of Science,0.9
Electronic Journal of Linear Algebra,0.9
International Journal of Disability Development and Education,0.9
International Journal of Disability Development and Education,0.9
Journal of African Archaeology,0.9
Journal of Comparative Politics,0.9
BOLETIN DE LA SOCIEDAD MATEMATICA MEXICANA,0.9
JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY,0.9
Quaestiones Mathematicae,0.9
Representation Theory,0.9
AMERICAN QUARTERLY,0.9
Annals of Functional Analysis,0.9
Annals of Functional Analysis,0.9
GEUS Bulletin,0.9
Journal of Spectral Theory,0.9
Journal of Spectral Theory,0.9
Vietnam Journal of Mathematics,0.9
English Language & Linguistics,0.9
English Language & Linguistics,0.9
Lithuanian Mathematical Journal,0.9
TOPICS IN LANGUAGE DISORDERS,0.9
TOPICS IN LANGUAGE DISORDERS,0.9
History of science and technology,0.9
ISRAEL JOURNAL OF MATHEMATICS,0.9
Luxury-History Culture Consumption,0.9
ANNALI DI MATEMATICA PURA ED APPLICATA,0.9
ANNALI DI MATEMATICA PURA ED APPLICATA,0.9
Asian Politics & Policy,0.9
Georgian Mathematical Journal,0.9
Journal of Education for Students Placed at Risk,0.9
Lege Artis-Language Yesterday Today Tomorrow,0.9
PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,0.9
PROCEEDINGS OF THE ROYAL SOCIETY OF EDINBURGH SECTION A-MATHEMATICS,0.9
Aequationes Mathematicae,0.9
Aequationes Mathematicae,0.9
AMERICAN SOCIOLOGIST,0.9
Journal of French Language Studies,0.9
Journal of French Language Studies,0.9
PHONETICA,0.9
PHONETICA,0.9
PHONETICA,0.9
PHONETICA,0.9
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,0.9
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,0.9
MUSEUM INTERNATIONAL,0.9
Mathematical Control and Related Fields,0.9
Mathematical Control and Related Fields,0.9
Tapuya-Latin American Science Technology and Society,0.9
Tapuya-Latin American Science Technology and Society,0.9
Animal Taxonomy and Ecology,0.9
Dialogic Pedagogy,0.9
JOURNAL FOR THE HISTORY OF ASTRONOMY,0.9
Journal of Open Humanities Data,0.9
Journal of Open Humanities Data,0.9
AKCE International Journal of Graphs and Combinatorics,0.9
AKCE International Journal of Graphs and Combinatorics,0.9
Annals of K-Theory,0.9
DIFFERENTIAL EQUATIONS,0.9
Enseignement Mathematique,0.9
STUDIES IN CONSERVATION,0.9
STUDIES IN CONSERVATION,0.9
STUDIES IN CONSERVATION,0.9
STUDIES IN CONSERVATION,0.9
STUDIES IN CONSERVATION,0.9
ACTA MATHEMATICA SINICA-ENGLISH SERIES,0.9
ACTA MATHEMATICA SINICA-ENGLISH SERIES,0.9
Chinese Journal of Applied Linguistics,0.9
Chinese Journal of Applied Linguistics,0.9
ENTERPRISE & SOCIETY,0.9
ENTERPRISE & SOCIETY,0.9
Glossa-A Journal of General Linguistics,0.9
Glossa-A Journal of General Linguistics,0.9
Zeitschrift fur Vergleichende Politikwissenschaft,0.9
ELECTRONIC TRANSACTIONS ON NUMERICAL ANALYSIS,0.9
Engaging Science Technology and Society,0.9
HNO,0.9
Journal of Intercultural Studies,0.9
Punjab University Journal of Mathematics,0.9
Canadian Journal of Science Mathematics and Technology Education,0.9
IEEE ANNALS OF THE HISTORY OF COMPUTING,0.9
IEEE ANNALS OF THE HISTORY OF COMPUTING,0.9
JOURNAL OF MOLLUSCAN STUDIES,0.9
JOURNAL OF MOLLUSCAN STUDIES,0.9
Statistics and Public Policy,0.9
Text & Talk,0.9
Text & Talk,0.9
Text & Talk,0.9
African Journalism Studies,0.9
Spirituality in Clinical Practice,0.9
Zootaxa,0.9
ANATOMIA HISTOLOGIA EMBRYOLOGIA,0.9
ANATOMIA HISTOLOGIA EMBRYOLOGIA,0.9
Arheoloski Vestnik,0.9
Asia-Pacific Journal of Ocean Law and Policy,0.9
Asia-Pacific Journal of Ocean Law and Policy,0.9
FWU Journal of Social Sciences,0.9
Southeast Asian Studies,0.9
New Bioethics-A Multidisciplinary Journal of Biotechnology and the Body,0.9
New Bioethics-A Multidisciplinary Journal of Biotechnology and the Body,0.9
New Bioethics-A Multidisciplinary Journal of Biotechnology and the Body,0.9
ACE-Architecture City and Environment,0.9
ACE-Architecture City and Environment,0.9
Asia Pacific Translation and Intercultural Studies,0.9
Asia Pacific Translation and Intercultural Studies,0.9
History of Psychology,0.9
History of Psychology,0.9
INDIAN JOURNAL OF HISTORY OF SCIENCE,0.9
MARRIAGE AND FAMILY REVIEW,0.9
Meridians-Feminism Race Transnationalism,0.9
Pure and Applied Mathematics Quarterly,0.9
Pure and Applied Mathematics Quarterly,0.9
ACTA GEOLOGICA POLONICA,0.9
Collectanea Mathematica,0.9
Collectanea Mathematica,0.9
Education and Training in Autism and Developmental Disabilities,0.9
Education and Training in Autism and Developmental Disabilities,0.9
ELECTRONIC JOURNAL OF COMBINATORICS,0.9
ELECTRONIC JOURNAL OF COMBINATORICS,0.9
Journal of Disability Policy Studies,0.9
Journal of Latin American and Caribbean Anthropology,0.9
ARCHIVE FOR HISTORY OF EXACT SCIENCES,0.9
ARCHIVE FOR HISTORY OF EXACT SCIENCES,0.9
CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,0.9
Communication Today,0.9
CRITICAL STUDIES IN MEDIA COMMUNICATION,0.9
Journal of Vascular Nursing,0.9
LATIN AMERICAN PERSPECTIVES,0.9
LATIN AMERICAN PERSPECTIVES,0.9
Review of Communication Research,0.9
Acta Mathematicae Applicatae Sinica-English Series,0.9
Contributions to Mathematics,0.9
Contributions to Mathematics,0.9
Journal fur Mathematik-Didaktik,0.9
Journal of Digital Media & Policy,0.9
JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B,0.9
JOURNAL OF PEDIATRIC ORTHOPAEDICS-PART B,0.9
Journal of Skin Cancer,0.9
Capital and Class,0.9
JOURNAL OF FAMILY THERAPY,0.9
JOURNAL OF FAMILY THERAPY,0.9
Journal of Labor and Society,0.9
Publicacion Electronica de la Asociacion Paleontologica Argentina,0.9
Sport Management Education Journal,0.9
Combinatorics Probability and Computing,0.9
Combinatorics Probability and Computing,0.9
Combinatorics Probability and Computing,0.9
Comparative Cognition & Behavior Reviews,0.9
Historical Studies in the Natural Sciences,0.9
Interaction Studies,0.9
Interaction Studies,0.9
Journal of Criminological Research Policy and Practice,0.9
Journal of Middle East Womens Studies,0.9
Revista Espanola de Linguistica Aplicada,0.9
Revista Espanola de Linguistica Aplicada,0.9
Therapeutic Advances in Allergy and Rhinology,0.9
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,0.9
GMS Interdisciplinary Plastic and Reconstructive Surgery DGPW,0.9
South African Journal of Childhood Education,0.9
AFRICAN ZOOLOGY,0.9
ANNALS OF CLINICAL AND LABORATORY SCIENCE,0.9
ANTHROPOLOGICAL QUARTERLY,0.9
Current Anesthesiology Reports,0.9
International Journal of Childrens Rights,0.9
VETERINARY RECORD,0.9
Journal of HIV-AIDS & Social Services,0.9
JOURNAL OF INSECT BEHAVIOR,0.9
JOURNAL OF LATINOS AND EDUCATION,0.9
Journal of World-Systems Research,0.9
NURSING SCIENCE QUARTERLY,0.9
Alteridad-Revista de Educacion,0.9
Asia Policy,0.9
Asia Policy,0.9
ASSESSMENT FOR EFFECTIVE INTERVENTION,0.9
Bereavement-Journal of Grief and Responses to Death,0.9
Case Studies in Sport and Exercise Psychology,0.9
Case Studies in Sport and Exercise Psychology,0.9
HISTORY OF PSYCHIATRY,0.9
HISTORY OF PSYCHIATRY,0.9
Journal of Continuing Higher Education,0.9
Journal of Investigative Psychology and Offender Profiling,0.9
Journal of Investigative Psychology and Offender Profiling,0.9
PEDIATRIC ANNALS,0.9
Canadian Studies in Population,0.9
Ethnography and Education,0.9
International Area Studies Review,0.9
Journal of Perioperative Practice,0.9
Journal of Social Work Practice in the Addictions,0.9
Persian Journal of Acarology,0.9
PROCESAMIENTO DEL LENGUAJE NATURAL,0.9
PROCESAMIENTO DEL LENGUAJE NATURAL,0.9
African Health Sciences,0.9
Asian Myrmecology,0.9
Brock Education-A Journal of Educational Research and Practice,0.9
COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION,0.9
DIAGNOSTIC CYTOPATHOLOGY,0.9
DIAGNOSTIC CYTOPATHOLOGY,0.9
Psychology Learning and Teaching-PLAT,0.9
WIENER MEDIZINISCHE WOCHENSCHRIFT,0.9
New Horizons in Adult Education and Human Resource Development,0.9
PEDIATRICS INTERNATIONAL,0.9
Scientific Papers-Series Management Economic Engineering in Agriculture and Rural Development,0.9
SCOTTISH JOURNAL OF GEOLOGY,0.9
TURKISH JOURNAL OF PEDIATRICS,0.9
ACTA VETERINARIA-BEOGRAD,0.9
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,0.9
Agris on-line Papers in Economics and Informatics,0.9
Infrastructure Asset Management,0.9
Iranian Journal of Veterinary Research,0.9
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,0.9
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,0.9
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,0.9
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,0.9
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,0.9
Jurnal Ilmiah Peuradeun,0.9
Learning and Teaching-The International Journal of Higher Education in the Social Sciences,0.9
Changing English-Studies in Culture and Education,0.9
COMMUNICATIONS IN STATISTICS-THEORY AND METHODS,0.9
EUROPEAN JOURNAL OF PLASTIC SURGERY,0.9
ICHTHYOLOGICAL RESEARCH,0.9
ICHTHYOLOGICAL RESEARCH,0.9
ICHTHYOLOGICAL RESEARCH,0.9
International Education Journal-Comparative Perspectives,0.9
International Journal of Comparative Labour Law and Industrial Relations,0.9
Journal of Education for Business,0.9
JOURNAL OF SYMBOLIC COMPUTATION,0.9
JOURNAL OF SYMBOLIC COMPUTATION,0.9
LIBRARY QUARTERLY,0.9
Uluslararasi Iliskiler-International Relations,0.9
International Journal of Palliative Nursing,0.9
JNP- The Journal for Nurse Practitioners,0.9
Journal of Vascular Surgery Cases Innovations and Techniques,0.9
KERNTECHNIK,0.9
OCCUPATIONAL THERAPY IN HEALTH CARE,0.9
Papers in Physics,0.9
SOCIOBIOLOGY,0.9
SOCIOLOGIA,0.9
ACTA CHIRURGICA BELGICA,0.9
Avances de Investigacion en Educacion Matematica,0.9
Bordon-Revista de Pedagogia,0.9
Howard Journal of Communications,0.9
International Journal of Health Promotion and Education,0.9
International Journal of Intelligence and Counterintelligence,0.9
Journal of E-Learning and Knowledge Society,0.9
Journal of International Political Theory,0.9
Notfall & Rettungsmedizin,0.9
AACE Clinical Case Reports,0.9
Comparative Cytogenetics,0.9
Comparative Cytogenetics,0.9
Comparative Cytogenetics,0.9
Global Change Peace & Security,0.9
INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY,0.9
INTERNATIONAL JOURNAL OF SURGICAL PATHOLOGY,0.9
Revista Latino-Americana de Enfermagem,0.9
TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES,0.9
Vivat Academia,0.9
World Journal of Plastic Surgery,0.9
Aquatic Biology,0.9
Case Reports in Dentistry,0.9
Communications for Statistical Applications and Methods,0.9
Drvna Industrija,0.9
Ensenanza de Las Ciencias,0.9
Geografie,0.9
JOURNAL OF SHELLFISH RESEARCH,0.9
JOURNAL OF SHELLFISH RESEARCH,0.9
Papeles del Psicologo,0.9
Random Matrices-Theory and Applications,0.9
Random Matrices-Theory and Applications,0.9
TROPICAL ZOOLOGY,0.9
AFRICAN JOURNAL OF AQUATIC SCIENCE,0.9
Beyoglu Eye Journal,0.9
CANADIAN JOURNAL OF ECONOMICS-REVUE CANADIENNE D ECONOMIQUE,0.9
Culture Agriculture Food and Environment,0.9
EUROPEAN JOURNAL OF PHYSICS,0.9
EUROPEAN JOURNAL OF PHYSICS,0.9
Fukushima Journal of Medical Science,0.9
Indian Journal of Labour Economics,0.9
Indian Journal of Labour Economics,0.9
International Journal of Mathematical Education in Science and Technology,0.9
INTERNATIONAL JOURNAL OF RISK & SAFETY IN MEDICINE,0.9
Journal of Neurological Surgery Part A-Central European Neurosurgery,0.9
Journal of Neurological Surgery Part A-Central European Neurosurgery,0.9
Journal of Nursing and Midwifery Sciences,0.9
Mathematics and Financial Economics,0.9
Mathematics and Financial Economics,0.9
Mathematics and Financial Economics,0.9
Mathematics and Financial Economics,0.9
Orthopaedic Nursing,0.9
Orthopaedic Nursing,0.9
Reproductive Medicine,0.9
Reproductive Medicine,0.9
Timing & Time Perception,0.9
Timing & Time Perception,0.9
European Surgery-Acta Chirurgica Austriaca,0.9
International Journal of Technology Enhanced Learning,0.9
JOURNAL OF NATURAL HISTORY,0.9
JOURNAL OF NATURAL HISTORY,0.9
JOURNAL OF NATURAL HISTORY,0.9
MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,0.9
MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,0.9
Pedagogy of Physical Culture and Sports,0.9
TOPICS IN GERIATRIC REHABILITATION,0.9
TOPICS IN GERIATRIC REHABILITATION,0.9
Turk Gogus Kalp Damar Cerrahisi Dergisi-Turkish Journal of Thoracic and Cardiovascular Surgery,0.9
ZEITSCHRIFT FUR GEBURTSHILFE UND NEONATOLOGIE,0.9
ZEITSCHRIFT FUR GEBURTSHILFE UND NEONATOLOGIE,0.9
AFRICAN ENTOMOLOGY,0.9
BEHAVIORAL INTERVENTIONS,0.9
BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS,0.9
BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS,0.9
Catalan Journal of Communication & Cultural Studies,0.9
Current Surgery Reports,0.9
Gospodarka Surowcami Mineralnymi-Mineral Resources Management,0.9
Gospodarka Surowcami Mineralnymi-Mineral Resources Management,0.9
Journal of Object Technology,0.9
JOURNAL OF POST KEYNESIAN ECONOMICS,0.9
Rechtsmedizin,0.9
SCM Studies in Communication and Media,0.9
Transformation-Critical Perspectives on Southern Africa,0.9
Zeitschrift fur Sexualforschung,0.9
Zeitschrift fur Sexualforschung,0.9
Acta Radiologica Open,0.9
AMERICAN JOURNAL OF PHYSICS,0.9
AMERICAN JOURNAL OF PHYSICS,0.9
Assistenza Infermieristica e Ricerca,0.9
AUC Geographica,0.9
Bulletin of Geography-Socio-Economic Series,0.9
Central European Journal of Public Health,0.9
COVID,0.9
COVID,0.9
Forensic Imaging,0.9
Indian Growth and Development Review,0.9
Journal of Addictions Nursing,0.9
Journal of Addictions Nursing,0.9
Australian Economic Review,0.9
Clinical Journal of Oncology Nursing,0.9
Clinical Journal of Oncology Nursing,0.9
European Journal of Psychology Open,0.9
Inland Water Biology,0.9
Journal of EMDR Practice and Research,0.9
Journal of EMDR Practice and Research,0.9
Journal of Livestock Science,0.9
Journal of Public Economic Theory,0.9
MANCHESTER SCHOOL,0.9
Nigerian Journal of Clinical Practice,0.9
OPEN ECONOMIES REVIEW,0.9
Problems of Information Transmission,0.9
Problems of Information Transmission,0.9
Tecnoscienza-Italian Journal of Science & Technology Studies,0.9
Urology Annals,0.9
Acta IMEKO,0.9
Advances in Cognitive Psychology,0.9
Alternativas. Cuadernos de Trabajo Social,0.9
APOS Trends in Orthodontics,0.9
Indian Journal of Pharmaceutical Education and Research,0.9
Indian Journal of Pharmaceutical Education and Research,0.9
INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,0.9
INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS,0.9
International Journal of Mathematics and Physics,0.9
International Journal of Mathematics and Physics,0.9
International Journal of Mathematics and Physics,0.9
JOURNAL OF THE PALAEONTOLOGICAL SOCIETY OF INDIA,0.9
JOURNAL OF TROPICAL FOREST SCIENCE,0.9
Liquid Crystals Today,0.9
Modern Rheumatology Case Reports,0.9
Neurosurgery Practice,0.9
Neurosurgery Practice,0.9
Quantum Studies-Mathematics and Foundations,0.9
Sign Language Studies,0.9
ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,0.9
ACOUSTICAL PHYSICS,0.9
Acta Gymnica,0.9
Body Movement and Dance in Psychotherapy,0.9
Body Movement and Dance in Psychotherapy,0.9
CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE,0.9
Case Reports in Immunology,0.9
CoDAS,0.9
GIO-Gruppe-Interaktion-Organisation-Zeitschrift fuer Angewandte Organisationspsychologie,0.9
Indian Journal of Animal Research,0.9
Japanese Political Economy,0.9
JOURNAL OF ECONOMIC ISSUES,0.9
JOURNAL OF MATHEMATICAL ECONOMICS,0.9
JOURNAL OF MATHEMATICAL ECONOMICS,0.9
JOURNAL OF MATHEMATICAL ECONOMICS,0.9
JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,0.9
JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,0.9
JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY,0.9
LAKE AND RESERVOIR MANAGEMENT,0.9
LAKE AND RESERVOIR MANAGEMENT,0.9
LAKE AND RESERVOIR MANAGEMENT,0.9
SYSTEMATIC BOTANY,0.9
SYSTEMATIC BOTANY,0.9
Zeitschrift fuer Technikfolgenabschaetzung in Theorie und Praxis - TATuP,0.9
Agenda-Empowering Women for Gender Equity,0.9
Cataloging & Classification Quarterly,0.9
DESIDOC Journal of Library & Information Technology,0.9
European Journal of Comparative Economics,0.9
Forum for Social Economics,0.9
Geosystem Engineering,0.9
INDIAN JOURNAL OF GENETICS AND PLANT BREEDING,0.9
Indian Journal of Nephrology,0.9
International Journal of Microgravity Science and Application,0.9
Iranian Journal of Kidney Diseases,0.9
Journal of Park and Recreation Administration,0.9
Language and Literacy,0.9
Molecular Imaging and Radionuclide Therapy,0.9
MONTHLY LABOR REVIEW,0.9
NURSING ECONOMICS,0.9
Odovtos International Journal of Dental Sciences,0.9
Organization Technology and Management in Construction,0.9
Pan African Medical Journal,0.9
POLISH POLAR RESEARCH,0.9
POLISH POLAR RESEARCH,0.9
Quality in Ageing and Older Adults,0.9
Romanian Journal of Economic Forecasting,0.9
Asia-Pacific Journal of Public Health,0.9
IDCases,0.9
INTERNATIONAL JOURNAL OF CLINICAL PHARMACOLOGY AND THERAPEUTICS,0.9
JOURNAL OF MODERN OPTICS,0.9
NORWEGIAN JOURNAL OF GEOLOGY,0.9
Open Dentistry Journal,0.9
Serbian Astronomical Journal,0.9
Acta Geodynamica et Geomaterialia,0.9
Acta Geodynamica et Geomaterialia,0.9
Arterial Hypertension,0.9
Asian Journal of Business and Accounting,0.9
Brazilian Journal of Pharmaceutical Sciences,0.9
Case Reports in Womens Health,0.9
Ecosistemas,0.9
FLUCTUATION AND NOISE LETTERS,0.9
FLUCTUATION AND NOISE LETTERS,0.9
GENES & GENETIC SYSTEMS,0.9
GENES & GENETIC SYSTEMS,0.9
GEOGRAFICKY CASOPIS-Geographical Journal,0.9
Horticultura Brasileira,0.9
INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,0.9
INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,0.9
INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,0.9
INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,0.9
International Journal on Information Technologies and Security,0.9
JAAPA-Journal of the American Academy of Physician Assistants,0.9
Journal of African Development,0.9
KOEDOE,0.9
Malawi Medical Journal,0.9
Mediterranean Botany,0.9
RADIOCHEMISTRY,0.9
SCANDINAVIAN ECONOMIC HISTORY REVIEW,0.9
